Alter;Zivilstand;Säule 3a;lebensversicherung;pensionskasse;totalVermoegen;totalLohn;schaetzungObjekt;score
37;41;20000;0;433713.0122;569750.7398;109200;614967.2349;85
25;63;0;41000;107618.9164;346609.1218;109200;1999139.412;5
56;68;80000;0;26701.45705;133269.7931;67200;699423.2534;20
90;68;130000;44000;106742.732;393125.8147;183407.9348;1954076.505;50
52;41;80000;72000;0;342602.4748;173429.0289;1970776.524;10
76;63;130000;67000;0;353159.309;172535.6198;1277712.984;65
80;63;130000;0;0;179348.6533;109200;1522019.855;10
42;41;40000;0;103822.9129;385626.0618;68040;1053242.016;55
58;63;80000;0;41439.67089;146054.6762;68040;1106910.982;10
87;51;130000;0;0;218256.8472;68040;746944.9848;50
64;41;100000;0;0;299933.5162;109200;800448.8224;70
68;41;100000;0;0;170893.0871;68040;1425056.432;5
74;51;130000;0;51072.02128;186134.1607;68040;1244431.879;5
42;68;40000;68000;0;241947.9016;109200;926494.4023;60
84;68;130000;0;405179.8896;682293.1985;109200;1615343.972;60
84;68;130000;33000;25072.46677;178167.5444;67200;518907.015;70
63;63;100000;0;49213.66781;215073.3363;68040;1460606.98;5
40;51;40000;64000;588775.4924;792264.3897;172901.6454;532720.0464;100
46;41;40000;0;0;206761.6608;68040;940493.7808;50
79;63;130000;0;24287.98496;152885.9028;106688.2013;1794432.447;35
35;63;20000;70000;0;303113.4046;109200;1103322.037;60
46;41;40000;38000;24122.9543;217850.5781;67200;1936004.289;5
41;63;40000;0;96282.23552;231173.3233;109200;1865635.446;5
48;68;40000;27000;19043.89819;151159.0713;100177.1888;1163966.92;10
51;51;80000;0;0;196806.809;182762.7214;1196051.745;25
41;51;40000;0;94835.28629;337692.2089;68040;1524763.841;45
52;63;80000;0;378780.4417;487264.3696;109200;534201.6334;90
60;41;100000;40000;94377.75361;352217.9184;109200;1888229.429;5
78;51;130000;0;31391.77807;164607.5045;38880;1747814.507;30
38;51;20000;0;0;238077.9285;68040;1553439.989;5
34;41;20000;0;0;261412.3059;68040;1416385.219;5
43;68;40000;0;37180.50721;202779.4009;68040;499733.3943;75
38;41;20000;0;0;228132.2477;109200;888789.0172;65
67;51;100000;0;0;254769.4339;109200;355759.5018;100
37;51;20000;0;36856.15866;208500.2121;68040;822670.497;50
76;41;130000;68000;0;344641.3152;109200;902891.4548;70
63;41;100000;0;0;248570.9564;68040;1736887.669;5
51;41;80000;0;364735.5697;536064.3913;181874.7476;1309807.323;70
46;41;40000;52000;364639.3907;592660.295;109200;543798.9341;90
26;51;0;0;363872.0045;583152.9902;156746.2741;167316.0075;100
36;51;20000;61000;545521.516;773850.6396;175210.7793;534341.7716;100
76;63;130000;0;90384.10553;295384.5392;68040;1214806.256;45
26;68;0;0;361063.0301;556752.1407;183682.2259;857547.3796;90
27;63;0;0;44955.7831;226386.5317;68040;1112840.066;50
32;68;20000;25000;17961.13338;181897.8898;67200;1283317.135;5
76;41;130000;29000;17813.93166;69633.3896;122243.7465;1510194.859;40
85;68;130000;0;44291.90881;276247.109;68040;1306438.539;45
29;41;0;0;88273.45255;314666.8558;68040;1696358.909;5
90;41;130000;0;0;204611.0482;180421.6407;455490.6369;100
68;41;100000;69000;0;227152.7074;175746.8219;1236974.902;25
72;51;130000;69000;0;322746.4155;109200;1416794.355;50
29;63;0;65000;0;283419.5669;181328.8862;553218.8248;100
28;41;0;0;0;242882.0252;68040;882736.8494;50
71;41;130000;0;17362.16291;56383.48578;67200;346015.6009;40
63;63;100000;39000;21635.55735;253708.9822;67200;1562458.017;5
39;68;20000;0;43220.89353;288851.8715;68040;9245.00733;100
50;68;80000;48000;86330.4308;245847.9584;109200;1547012.042;10
80;68;130000;61000;516848.8997;835153.7492;109200;123810.1409;100
29;63;0;0;34266.48618;219674.2957;68040;1537727.86;5
68;41;100000;0;513336.3175;770635.1844;164336.5958;1806063.367;60
33;41;20000;0;0;151946.7931;68040;1481091.022;5
44;68;40000;76000;0;330808.5497;109200;547310.5582;90
42;68;40000;84000;0;298304.3601;109200;997073.6998;60
84;41;130000;0;27982.70771;213831.02;38880;6962.208019;100
83;63;130000;66000;0;260722.491;109200;500342.7658;100
58;68;80000;0;16733.92944;167284.2257;67200;286541.6909;100
50;63;80000;0;333995.1036;518274.864;109200;364689.7047;100
44;68;40000;0;27811.60902;174393.9755;38880;1751241.781;30
50;68;80000;34000;20834.78989;216831.6839;67200;1525855.063;5
65;63;100000;65000;0;245610.8715;109200;896135.6716;65
49;41;40000;25000;16486.08077;141759.6485;67200;1017891.542;10
46;51;40000;0;32833.96381;106538.3871;68040;546420.0954;25
78;68;130000;61000;490321.8951;742266.5125;109200;16176.84892;100
70;68;130000;0;81192.5247;299758.6716;68040;89653.75295;100
77;63;130000;0;81110.15859;302176.6956;68040;875923.8164;55
72;68;130000;0;0;276061.8582;68040;629500.6371;70
39;51;20000;88000;0;373162.633;109200;220351.2739;100
55;51;80000;0;19772.64219;191403.3186;67200;250755.7424;100
53;68;80000;0;0;242452.122;109200;572148.3778;90
51;51;80000;0;473943.8282;635142.4393;109200;155117.214;100
87;51;130000;0;31524.42787;99646.01618;68040;7068.283707;100
70;41;130000;0;78751.21355;156093.8223;109200;1509008.302;10
71;68;130000;57000;312625.6161;532236.2933;109200;1274105.523;60
27;63;0;0;25865.23351;163663.0868;38880;1975973.611;30
67;51;100000;0;0;187239.4302;68040;70883.31175;100
39;41;20000;42000;77029.54008;260510.4454;109200;1689693.579;10
50;63;80000;0;15274.29276;73496.65933;67200;1977907.764;35
74;41;130000;76000;0;223443.9013;109200;1348518.571;10
59;63;80000;27000;15022.07851;149148.2017;67200;849622.7625;10
52;63;80000;0;0;176519.9283;68040;1430635.714;5
56;41;80000;0;0;135562.4998;109200;1047543.092;20
71;68;130000;60000;440767.1668;619824.0213;165850.7159;940458.7219;85
80;41;130000;0;0;178505.2493;109200;271837.2882;100
34;63;20000;0;0;216648.8056;173738.3958;955489.4989;75
72;68;130000;73000;0;310711.1506;109200;1871404.357;5
40;63;40000;0;0;204184.9373;109200;1390511.107;10
32;68;20000;39000;17780.97669;200861.0701;67200;537120.6561;70
34;68;20000;27000;14174.50903;98915.79465;67200;1664359.919;35
67;63;100000;64000;423034.4075;628839.4059;109200;566354.8012;90
65;68;100000;0;281773.282;458159.864;109200;1238671.273;55
30;68;20000;0;0;267421.0501;68040;839812.5888;55
86;51;130000;0;0;127230.6256;68040;1576484.297;35
30;41;20000;0;0;199398.9745;68040;1545729.374;5
43;63;40000;0;17581.83998;135129.3181;67200;1721111.297;35
41;63;40000;0;0;202536.4816;168618.234;722135.7328;90
50;63;80000;71000;0;287048.3129;109200;1992426.517;5
74;51;130000;87000;0;338771.5076;109200;1952062.124;5
77;41;130000;0;0;162220.0907;109200;444911.5489;95
82;63;130000;0;23161.93104;93548.11588;38880;1904718.067;30
53;41;80000;0;0;196202.9391;109200;465174.2715;100
43;68;40000;0;276535.9568;462961.1943;109200;1638320.674;50
25;68;0;44000;69002.51037;182709.493;109200;1094695.005;20
88;51;130000;0;274402.2822;445733.8872;109200;1086484.86;70
39;41;20000;47000;68269.91239;236946.5167;178366.189;1445259.357;20
80;41;130000;0;0;215976.338;68040;680198.1863;65
89;51;130000;0;27186.68384;114286.1393;68040;1676961.091;35
32;41;20000;0;67140.31997;208101.4732;109200;1925867.643;5
51;41;80000;0;16761.54682;85194.07403;67200;38863.54004;100
62;41;100000;0;66288.18028;194390.7629;167398.4951;1974631.351;40
74;41;130000;0;0;228560.9464;109200;1828931.515;5
87;41;130000;0;0;193512.8253;109200;1022610.866;20
68;63;100000;59000;262753.0193;454525.4115;156538.3533;606231.7066;100
79;63;130000;0;392162.9741;583881.4873;109200;1961972.159;45
56;51;80000;0;0;153530.9357;109200;830640.5548;25
38;51;20000;0;260972.6835;374162.6598;162376.4562;618765.3333;100
63;51;100000;39000;16266.88118;172785.7488;67200;1076987.675;10
84;51;130000;0;0;183883.9909;68040;23490.87611;100
88;68;130000;0;16036.11111;162077.696;115938.8992;509266.6719;85
65;63;100000;0;63937.93228;153535.5901;180077.9078;562529.9687;90
38;68;20000;85000;0;248104.5961;109200;604664.4146;90
52;51;80000;0;25545.50065;154804.7169;68040;587163.821;60
62;51;100000;0;25423.67383;134419.9816;68040;1965797.259;35
58;68;80000;76000;0;302324.0665;109200;1601934.891;10
89;63;130000;0;0;121750.5186;68040;1834614.318;35
80;41;130000;38000;15750.55819;176880.6576;67200;1997749.391;35
74;41;130000;0;25090.04844;87068.09982;68040;1037648.084;40
72;51;130000;0;0;164689.2524;68040;1280797.352;5
44;63;40000;82000;0;256955.589;109200;554973.1029;90
57;51;80000;63000;363608.0237;547220.3204;109200;94195.06446;100
87;41;130000;0;0;232035.8032;109200;401373.9047;100
49;63;40000;0;0;197791.2948;160549.2134;744829.0921;80
83;68;130000;74000;0;247673.7579;109200;1955269.327;5
40;41;40000;0;59157.28707;233593.0948;68040;6626.06327;100
55;63;80000;0;0;176612.6559;109200;1874555.071;35
80;41;130000;0;0;218355.1841;109200;1257754.529;10
40;63;40000;0;19466.88144;149615.1844;38880;1816517.994;30
90;51;130000;0;0;166463.4757;109200;466483.964;95
88;63;130000;0;227222.6993;392091.966;109200;1478340.809;50
45;51;40000;52000;226153.8157;442048.3931;168870.3622;108827.9037;100
32;51;20000;0;13958.00808;113726.026;67200;285927.7899;95
39;41;20000;0;0;172578.5481;68040;1693631.235;5
78;41;130000;0;21971.11826;115610.5983;68040;216045.9024;100
41;41;40000;0;21899.15449;143636.8788;68040;1756087.484;35
65;41;100000;0;0;155167.9019;68040;93954.022;100
74;51;130000;0;54530.97174;118198.8648;163004.3615;521978.7527;90
82;41;130000;0;21585.78809;164237.0919;68040;1145759.751;5
55;63;80000;0;0;129537.2736;109200;581099.1108;80
35;68;20000;0;10751.31877;102965.329;67200;656536.4124;20
89;51;130000;0;0;209301.0366;68040;1794522.76;5
32;68;20000;0;0;187882.1877;109200;1507706.893;10
74;63;130000;0;13270.94168;132740.5822;100543.8991;1761598.475;35
57;41;80000;0;0;145453.6753;68040;432087.0132;80
66;68;100000;0;26464.54789;120766.2907;68040;334823.3004;85
48;51;40000;31000;13158.7754;102398.4944;67200;513588.916;25
42;41;40000;45000;52349.20764;198740.2945;109200;1106473.71;20
26;41;0;0;0;170094.3885;68040;1236080.266;5
88;51;130000;0;0;188410.4027;68040;146989.9698;100
84;63;130000;0;10302.14207;78403.10168;67200;1680637.461;35
80;41;130000;30000;12549.15105;146544.1767;67200;555143.3463;65
89;63;130000;0;25023.013;180982.0839;68040;886142.1395;50
48;51;40000;0;16529.38408;62817.22129;38880;73507.5127;100
58;41;80000;0;0;153555.5647;68040;1137780.88;5
39;68;20000;0;49146.47889;180146.9926;109200;1697334.519;10
50;41;80000;0;0;186796.3717;109200;1142349.241;20
48;68;40000;0;192959.078;296440.6837;109200;954385.7182;65
27;63;0;72000;0;238052.908;109200;1556190.31;10
27;63;0;0;285596.5704;427972.5303;159955.3417;990030.5877;85
89;68;130000;27000;9434.415915;123550.3903;99257.14376;1067580.17;10
65;63;100000;0;46913.72624;96880.59122;109200;1827696.331;35
73;68;130000;0;0;174346.93;68040;229263.5527;100
25;68;0;60000;276268.2243;518366.164;166097.8966;1800076.645;50
70;63;130000;0;0;145177.4753;68040;1631345.478;35
89;51;130000;61000;269977.7042;482587.6948;171088.3358;1137462.653;75
35;51;20000;43000;44577.97331;143570.8023;109200;1031849.253;20
83;41;130000;0;44523.2331;111738.8303;109200;1929803.779;35
30;51;20000;87000;0;237839.5366;160712.1317;1045528.534;65
41;41;40000;33000;11076.1107;117435.337;67200;1971786.257;35
64;51;100000;0;0;205113.0383;178747.5743;1726142.892;20
38;63;20000;43000;44085.99352;200394.0255;109200;1322898.553;10
30;68;20000;66000;0;222618.1226;157028.0411;254620.3627;100
57;68;80000;0;10973.79254;75541.20216;67200;652613.8175;20
47;41;40000;0;174302.3859;323908.4979;109200;663275.1745;85
77;41;130000;0;21716.51659;124803.4196;68040;1871103.195;35
71;63;130000;61000;258443.3787;471147.5721;109200;86145.88763;100
70;68;130000;77000;0;264754.4629;167066.1099;304569.3609;100
89;63;130000;0;0;180307.7323;68040;1371810.427;5
90;63;130000;0;0;176756.8174;109200;948381.6216;20
29;68;0;0;0;189124.341;109200;102650.5519;100
72;68;130000;0;41319.6517;106486.318;109200;1746672.339;40
58;51;80000;0;0;143759.0469;68040;314782.7143;100
58;68;80000;0;0;167946.2081;68040;965719.7259;10
81;68;130000;77000;0;276187.3165;109200;1893283.987;5
88;63;130000;31000;10155.07678;115373.9357;67200;551299.2877;65
83;51;130000;42000;40275.15388;141793.1388;109200;1534812.319;40
34;63;20000;0;160623.8129;259954.9138;109200;528061.7935;90
73;51;130000;0;13365.47939;45814.76257;38880;504825.3739;40
59;63;80000;68000;0;225372.5829;109200;338800.1423;100
50;68;80000;0;19902.75678;175094.8037;68040;728536.5996;60
57;51;80000;0;236063.3289;405562.5031;174185.25;1170168.597;70
87;51;130000;0;39199.10796;138572.5341;109200;119787.6725;100
84;63;130000;0;13035.67387;76972.8413;38880;228699.356;80
48;41;40000;34000;9580.112703;120650.8301;67200;1468017.343;35
39;51;20000;0;0;151449.8198;109200;606156.8555;80
28;41;0;0;12714.67909;56874.73591;38880;1271669.579;35
33;51;20000;0;0;184012.6783;68040;1076166.755;10
73;51;130000;0;151610.6067;269135.7043;109200;1494894.25;10
29;41;0;0;18941.56298;159629.0439;68040;1074519.354;10
51;51;80000;0;12621.17166;72836.31704;38880;1632735.817;30
74;51;130000;0;0;195183.6516;109200;1699912.748;10
53;63;80000;56000;150906.9989;328775.7595;181352.5347;896317.094;80
75;51;130000;0;14942.40678;106461.0627;68040;315433.1255;95
41;68;40000;0;0;203698.8624;174336.1657;1157180.031;25
85;51;130000;0;36410.76773;160364.4575;68040;947090.9286;10
50;63;80000;60000;217457.7958;437496.969;109200;1339016.024;55
88;68;130000;0;12014.42501;41273.11284;38880;845249.6267;35
27;63;0;0;17992.64737;115513.6621;68040;511028.6585;65
55;51;80000;0;0;143518.4119;109200;498461.4526;90
35;51;20000;0;0;179707.4069;68040;382514.2824;85
86;68;130000;0;142115.8231;233540.5588;109200;406100.1848;100
84;68;130000;0;213096.4845;357459.539;109200;1278152.579;50
77;63;130000;0;7046.787687;30057.81134;67200;1022716.091;40
86;63;130000;0;11729.69633;62614.30472;38880;25057.70157;100
75;41;130000;0;8763.656467;60334.34266;38880;40241.03065;100
69;41;100000;38000;8468.745705;131003.1992;67200;1348608.926;35
76;51;130000;49000;33805.15068;177666.9903;169769.4991;1230966.097;25
27;63;0;0;11219.69717;65475.4397;38880;1515243.579;30
33;63;20000;88000;0;253223.3692;109200;1811222.894;10
26;63;0;0;13412.8868;100863.3327;68040;389114.062;75
60;41;100000;0;0;143069.6729;109200;160855.9433;100
26;51;0;71000;0;240774.1437;109200;1761845.237;10
29;63;0;0;16680.58758;159515.0626;68040;1580748.242;5
25;63;0;0;16430.76075;131038.4655;68040;1594673.32;35
84;51;130000;0;0;148247.1629;68040;1640036.277;35
49;51;40000;0;129629.5977;263409.3714;109200;1430644.572;10
82;51;130000;0;6473.925396;22156.83815;67200;458271.5544;55
44;68;40000;0;10789.87566;42406.15795;38880;689945.9728;35
33;51;20000;0;16165.92726;116160.3185;68040;293731.5888;95
44;68;40000;0;192820.6075;316662.9323;109200;690715.7956;85
83;41;130000;72000;0;220484.9899;109200;1305078.225;10
37;63;20000;0;0;180042.6189;162911.0184;642751.4961;90
31;68;20000;0;0;183425.3964;68040;1058602.562;10
68;63;100000;41000;31690.83129;151272.461;109200;1765646.622;40
28;63;0;0;0;141148.6222;109200;1610743.199;40
88;51;130000;0;124983.6714;254988.1657;185407.5796;323373.7219;100
44;41;40000;0;0;182556.935;68040;1044450.905;10
54;51;80000;0;0;146759.6353;164885.6515;535123.0089;90
35;51;20000;0;0;153956.6124;68040;1631228.484;35
54;41;80000;0;0;144455.9217;68040;825918.7606;10
90;63;130000;0;30664.92127;82595.52387;109200;1280096.251;40
72;63;130000;0;7617.927622;40012.82494;67200;1929257.392;35
41;63;40000;0;0;179940.5672;109200;857378.034;65
48;63;40000;66000;0;195751.8396;109200;1500363.732;10
69;68;100000;0;0;165638.3397;109200;1580657.426;10
42;41;40000;0;11865.35883;86922.55266;68040;884449.4865;40
87;63;130000;0;29601.40932;184807.6096;68040;1749474.594;5
41;63;40000;63000;176789.9107;351891.8494;109200;289624.9161;100
70;51;130000;0;9774.16903;72217.14222;38880;515748.0543;10
28;63;0;0;0;177467.2136;164097.4405;386389.8927;100
43;68;40000;55000;115631.7921;299938.5829;109200;878161.5308;70
34;63;20000;53000;115113.0391;269829.7605;109200;1526838.617;10
28;63;0;0;0;147729.0436;68040;449291.7939;70
38;41;20000;0;0;169295.0327;109200;761138.1262;65
41;41;40000;0;27553.08515;180720.9413;68040;1412115.134;5
47;51;40000;28000;5486.077725;61878.73975;67200;38715.19338;100
79;63;130000;0;0;151782.0043;109200;412600.6861;95
74;68;130000;60000;161384.3779;367150.6548;109200;1288250.734;50
54;41;80000;0;10744.29292;100258.3426;68040;1537592.579;35
74;41;130000;0;0;150091.4488;68040;235652.1516;100
45;41;40000;0;10651.31983;78839.25029;68040;1977893.401;35
87;51;130000;0;5325.659913;21246.4738;67200;1394792.893;35
70;51;130000;0;8831.307241;70082.70225;38880;909381.3076;35
76;68;130000;0;0;140129.6874;68040;1116223.393;10
49;63;40000;76000;0;231160.7265;109200;890735.4526;65
48;41;40000;0;5254.855751;12130.7893;67200;1257841.896;35
59;68;80000;0;10417.01125;81903.49346;68040;1864492.582;35
40;41;40000;0;0;170891.3078;68040;1919626.204;35
56;68;80000;0;0;130495.4419;160978.5939;667637.3512;50
64;68;100000;0;0;120596.9182;109200;496768.5332;90
39;51;20000;0;25270.02607;90386.21749;109200;1556863.269;40
86;68;130000;0;5003.016668;12203.33523;67200;904702.9673;40
50;63;80000;40000;24724.15872;139231.5762;109200;222325.1762;100
57;68;80000;0;0;150829.2803;109200;367412.9036;100
60;68;100000;0;98726.78675;184430.5501;167322.7403;1328914.712;20
43;63;40000;28000;4919.38863;55076.71583;101637.282;22181.87385;100
38;51;20000;0;6114.447615;51993.93492;67200;1462437.264;35
28;51;0;0;0;175889.064;68040;1997396.654;35
46;51;40000;0;24149.30123;86814.91408;177118.8736;599461.3696;50
86;63;130000;0;94424.64943;201678.6847;170014.7009;1570385.885;20
40;63;40000;90000;0;230580.8522;158758.0618;1841043.805;10
66;68;100000;0;4668.197562;32138.85374;67200;1161918.104;35
69;41;100000;0;7585.867934;41749.53472;38880;527685.6888;40
50;68;80000;0;10973.92044;114378.3264;68040;2831.958338;100
75;41;130000;0;21678.48834;68229.25361;182183.4611;1129918.578;55
44;63;40000;51000;86690.07912;255793.7305;109200;1093686.582;60
52;63;80000;0;21427.38253;102517.6618;109200;351965.5104;90
38;51;20000;0;85637.90743;188598.1382;109200;1653654.687;10
87;68;130000;55000;85565.94366;251418.4792;185132.4431;860816.1892;80
84;63;130000;34000;5331.457942;87241.63058;101989.9576;1404993.028;40
89;51;130000;0;0;143980.201;68040;1740703.936;35
43;63;40000;0;10257.30967;105009.0834;68040;73721.14351;100
70;63;130000;0;9936.030665;106183.3091;68040;510702.8345;65
45;68;40000;0;4960.597266;63256.30431;67200;422389.9255;35
65;63;100000;0;4959.105127;56889.76519;67200;1323341.117;35
29;68;0;0;4953.157884;42266.0664;67200;215361.5687;50
33;41;20000;0;0;135488.8535;68040;453541.9279;65
52;51;80000;0;3824.857231;26865.38322;108002.8779;8108.333814;100
64;63;100000;0;0;109749.8777;68040;844368.9009;10
30;41;20000;0;9440.682902;116624.0585;68040;1981393.315;35
76;68;130000;46000;18313.41478;125215.9423;109200;1701022.031;40
59;63;80000;0;72662.60127;171624.4069;109200;45394.22766;100
64;63;100000;0;6004.029274;57768.6996;38880;1115114.263;35
72;68;130000;90000;0;249111.8187;109200;657792.8453;80
28;63;0;0;17935.34921;87668.9475;180920.4877;799839.6795;40
53;41;80000;0;4448.409641;35170.16362;38880;1890510.857;30
80;63;130000;76000;0;220655.1517;109200;1375976.298;10
67;68;100000;68000;0;175026.9592;109200;606545.3236;80
39;41;20000;0;0;150695.2933;109200;1586016.335;40
85;51;130000;0;0;106292.5342;165140.6122;1967428.293;40
36;63;20000;0;0;135159.8899;68040;869284.3942;10
88;51;130000;0;16939.11145;128447.2102;68040;1735619.577;35
34;51;20000;0;0;152663.3327;109200;1294164.087;10
90;63;130000;0;65028.30274;151022.2218;163595.6257;1896798.785;40
34;63;20000;30000;4061.348591;84974.46478;67200;1538513.77;35
81;68;130000;0;0;133945.3447;68040;63657.20733;100
86;63;130000;73000;0;227806.7706;109200;1935287.576;5
70;51;130000;89000;0;241804.1338;109200;1575273.661;10
85;63;130000;0;15482.61253;121871.8082;68040;1095025.06;10
56;63;80000;0;15324.36045;83513.48195;156514.5527;1593222.63;50
74;51;130000;0;0;141133.0041;68040;1969811.022;35
87;41;130000;0;0;127943.5331;109200;65699.38383;100
65;63;100000;0;3703.767959;39293.81528;100196.8043;1509576.441;40
87;41;130000;0;0;145371.2716;182865.5894;173842.9617;100
72;63;130000;0;58628.64327;158976.0537;184924.1879;160629.1633;100
44;51;40000;0;5773.983958;51461.88687;68040;955841.7454;40
37;63;20000;0;0;157203.1367;109200;1408863.841;10
28;68;0;0;14031.91163;74693.31682;109200;1200972.313;50
30;63;20000;0;55637.20151;162003.3941;109200;1840973.052;35
62;51;100000;51000;54517.15879;203225.0897;109200;1211537.008;20
44;51;40000;0;0;120926.4604;184862.6341;610602.183;50
73;51;130000;0;0;144658.7589;109200;1343503.92;10
86;68;130000;0;2631.40123;18067.24964;67200;157498.3705;50
83;63;130000;54000;52418.27239;191597.0139;109200;236999.3832;100
78;51;130000;78000;0;211646.5006;109200;724142.9335;75
45;51;40000;0;0;110845.9145;109200;383115.398;90
52;68;80000;0;3137.884619;36668.74097;67200;1999123.687;35
87;68;130000;0;12243.21977;74023.4244;109200;445216.7604;50
30;63;20000;46000;12132.80143;103797.3308;109200;954671.2183;20
30;51;20000;89000;0;242241.1676;174216.6406;48033.34955;100
38;68;20000;0;0;134661.6855;174371.3405;1645858.584;50
39;68;20000;0;0;141198.6457;166745.4782;827127.3212;40
58;41;80000;0;4606.806669;50823.55691;68040;1125132.123;35
31;68;20000;0;66456.15258;176477.2655;109200;430672.6839;100
77;41;130000;0;0;138112.5219;68040;899917.443;10
60;68;100000;66000;0;185723.5425;109200;3056.731691;100
65;41;100000;0;3462.076847;42531.41211;38880;133377.8418;95
35;63;20000;0;41313.34208;135361.2695;109200;137352.1297;100
33;41;20000;0;2014.69561;6497.04092;121701.6004;916878.0527;50
39;63;20000;0;4001.594789;53826.98971;68040;563876.5705;50
31;51;20000;0;2414.196842;30927.63084;67200;877112.7394;40
